청구일,종목명,상태,자본금(백만),매출액(백만),당기순이익(백만),주간사,주업종,수요예측일,희망공모가(원),확정공모가,공모금액(백만),예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,공모주일정,희망공모가,청약경쟁률,분석,신규상장일,현재가(원),전일비(%),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원),
2020/06/18,에이플러스에셋어드바이저(유가),상장,"11,303","269,373","15,385","엔에이치투자증권,IBK투자증권",보험 및 연금관련 서비스업,,,,,,,,,,,,,,,,,,,,,,
2020/06/17,큐라티스,철회,"10,836",80,"-80,475","신한금융투자,미래에셋대우",자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2020/06/11,카카오게임즈,상장,"7,320","322,392","33,315","한국투자증권,삼성증권",소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2020/06/10,위드텍,상장,"2,545","58,061","11,129",하나금융투자,"측정, 시험, 항해, 제어 및 기타",2020.10.14~10.15,"21,000~25,000","25,000","22,260",2020.10.14,"21,000~25,000","25,000","22,260",1336.49:1,23.53%,2020.10.20~10.21,"21,000~25,000",1185.51:1,,2020/10/30,"15,250",-5.86%,-39%,"37,100",48.4%,"41,100",
2020/06/09,핑거,상장,"4,419","60,015","3,174",대신증권,소프트웨어 개발 및 공급업,2021.01.14~01.15,"13,000~15,000","16,000","16,900",2021.01.14,"13,000~15,000","16,000","16,900",1453.12:1,12.64%,2021.01.21~01.22,"13,000~15,000",939.39:1,,2021/01/29,"18,600",-7.46%,16.25%,"32,000",100%,"29,100",
2020/06/05,넥스틴,상장,"1,567","9,394","-2,625",KB증권,특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,
2020/06/05,애니원,철회,"4,974","56,560","7,774",미래에셋대우,합성고무 및 플라스틱 물질 제조업,,,,,,,,,,,,,,,,,,,,,,
2020/06/04,솔루엠(유가),상장,"23,166","913,607","38,483","신한금융투자,미래에셋대우,KB증",기타 전자부품 제조업,,,,,,,,,,,,,,,,,,,,,,
2020/06/03,센코,상장,"3,885","19,835","-2,411",한국투자증권,전자부품 제조업,2020.10.13~10.14,"10,000~13,000","13,000","16,120",2020.10.13,"10,000~13,000","13,000","16,120",848.37:1,2.20%,2020.10.20~10.21,"10,000~13,000",366.42:1,,2020/10/29,"14,950",-5.68%,15%,"13,350",2.69%,"15,250",
2020/05/29,제일전기공업,상장,"5,555","146,148","14,127",하나금융투자,배전반 및 전기 자동제어반 제조업,,,,,,,,,,,,,,,,,,,,,,
